iter	Passed	Remaining
132	3160	8720
133	3186	8703
134	3210	8679
135	3234	8657
136	3258	8633
137	3281	8608
138	3304	8582
139	3330	8563
140	3353	8538
141	3378	8517
142	3417	8531
143	3449	8527
144	3477	8513
145	3507	8503
146	3536	8491
147	3569	8490
148	3598	8477
149	3623	8455
150	3643	8420
151	3663	8386
152	3683	8353
153	3701	8315
154	3720	8281
155	3740	8247
156	3759	8213
157	3778	8179
158	3798	8145
159	3818	8114
160	3838	8082
161	3856	8045
162	3879	8021
163	3903	7997
164	3923	7966
165	3945	7937
166	3966	7909
167	3988	7882
168	4014	7862
169	4035	7833
170	4051	7794
171	4073	7767
172	4106	7762
173	4131	7740
174	4154	7715
175	4173	7682
176	4197	7659
177	4216	7628
178	4237	7598
179	4259	7571
180	4279	7541
181	4299	7512
182	4322	7486
183	4341	7456
184	4361	7426
185	4383	7400
186	4403	7370
187	4421	7338
188	4444	7313
189	4464	7283
190	4483	7254
191	4503	7223
192	4523	7195
193	4543	7166
194	4563	7137
195	4582	7108
196	4602	7078
197	4621	7048
198	4642	7021
199	4662	6993
200	4682	6965
201	4703	6938
202	4722	6909
203	4744	6883
204	4766	6858
205	4786	6830
206	4804	6801
207	4824	6772
208	4842	6743
209	4862	6714
210	4884	6689
211	4905	6663
212	4924	6635
213	4947	6611
214	4967	6585
215	4987	6557
216	5007	6530
217	5029	6506
218	5050	6480
219	5072	6455
220	5093	6429
221	5113	6403
222	5132	6375
223	5156	6353
224	5177	6327
225	5197	6301
226	5218	6275
227	5237	6248
228	5256	6220
229	5276	6194
230	5296	6168
231	5317	6142
232	5337	6116
233	5359	6092
234	5379	6065
235	5405	6046
236	5425	6020
237	5446	5995
238	5466	5969
239	5485	5942
240	5505	5916
241	5526	5891
242	5547	5867
243	5570	5844
244	5591	5819
245	5610	5792
246	5628	5764
247	5647	5738
248	5666	5712
249	5687	5687
250	5708	5663
251	5728	5637
252	5748	5611
253	5769	5587
254	5792	5565
255	5811	5538
256	5831	5513
257	5850	5487
258	5870	5462
259	5889	5436
260	5909	5411
261	5928	5385
262	5948	5360
263	5969	5336
264	5989	5311
265	6008	5285
266	6028	5260
267	6049	5236
268	6068	5211
269	6088	5186
270	6109	5162
271	6129	5137
272	6151	5114
273	6173	5091
274	6195	5069
275	6217	5045
276	6242	5025
277	6276	5012
278	6307	4996
279	6330	4973
280	6350	4949
281	6373	4926
282	6390	4900
283	6412	4876
284	6437	4856
285	6456	4831
286	6475	4806
287	6496	4782
288	6515	4756
289	6534	4731
290	6553	4706
291	6572	4681
292	6591	4656
293	6611	4632
294	6631	4608
295	6651	4584
296	6672	4560
297	6691	4535
298	6711	4511
299	6731	4487
300	6755	4466
301	6778	4444
302	6800	4421
303	6822	4398
304	6845	4376
305	6870	4355
306	6891	4332
307	6913	4309
308	6932	4285
309	6952	4260
310	6972	4237
311	6992	4213
312	7010	4188
313	7029	4164
314	7050	4140
315	7069	4116
316	7088	4092
317	7108	4068
318	7126	4043
319	7148	4020
320	7167	3996
321	7186	3972
322	7206	3949
323	7226	3925
324	7246	3902
325	7267	3878
326	7290	3857
327	7312	3834
328	7333	3811
329	7352	3787
330	7374	3765
331	7393	3741
332	7412	3717
333	7431	3693
334	7451	3670
335	7471	3646
336	7490	3622
337	7509	3599
338	7529	3575
339	7552	3554
340	7571	3530
341	7590	3506
342	7609	3483
343	7629	3460
344	7649	3436
345	7670	3414
346	7691	3391
347	7713	3369
348	7734	3346
349	7759	3325
350	7784	3304
351	7804	3281
352	7826	3259
353	7847	3236
354	7869	3214
355	7892	3192
356	7912	3169
357	7935	3147
358	7956	3124
359	7976	3102
360	7996	3079
361	8016	3055
362	8034	3032
363	8053	3008
364	8074	2986
365	8094	2963
366	8115	2940
367	8134	2917
368	8154	2895
369	8176	2872
370	8196	2849
371	8216	2827
372	8236	2804
373	8255	2781
374	8274	2758
375	8294	2735
376	8316	2713
377	8340	2691
378	8365	2670
379	8387	2648
380	8409	2626
381	8434	2605
382	8468	2586
383	8492	2565
384	8514	2543
385	8532	2520
386	8550	2496
387	8568	2473
388	8587	2450
389	8606	2427
390	8624	2404
391	8643	2381
392	8661	2358
393	8679	2335
394	8699	2312
395	8720	2290
396	8740	2267
397	8760	2245
398	8781	2222
399	8800	2200
400	8818	2177
401	8838	2154
402	8858	2132
403	8880	2110
404	8901	2087
405	8926	2066
406	8948	2044
407	8970	2022
408	8992	2000
409	9016	1979
410	9038	1957
411	9059	1935
412	9080	1912
413	9099	1890
414	9120	1868
415	9141	1845
416	9160	1823
417	9181	1801
418	9200	1778
419	9220	1756
420	9239	1733
421	9260	1711
422	9282	1689
423	9301	1667
424	9319	1644
425	9339	1622
426	9361	1600
427	9382	1578
428	9403	1556
429	9424	1534
430	9445	1512
431	9468	1490
432	9490	1468
433	9511	1446
434	9534	1424
435	9554	1402
436	9573	1380
437	9593	1357
438	9614	1335
439	9633	1313
440	9655	1291
441	9678	1269
442	9698	1247
443	9724	1226
444	9745	1204
445	9767	1182
446	9788	1160
447	9809	1138
448	9830	1116
449	9851	1094
450	9872	1072
451	9893	1050
452	9918	1029
453	9939	1007
454	9961	985
455	9983	963
456	10003	941
457	10024	919
458	10046	897
459	10069	875
460	10093	853
461	10115	832
462	10137	810
463	10161	788
464	10184	766
465	10205	744
466	10227	722
467	10248	700
468	10270	678
469	10290	656
470	10315	635
471	10335	613
472	10356	591
473	10380	569
474	10401	547
475	10426	525
476	10448	503
477	10472	482
478	10497	460
479	10526	438
480	10573	417
481	10650	397
482	10690	376
483	10728	354
484	10770	333
485	10794	310
486	10814	288
487	10835	266
488	10855	244
489	10874	221
490	10893	199
491	10914	177
492	10937	155
493	10961	133
494	10982	110
495	11004	88
496	11024	66
497	11044	44
498	11066	22
499	11086	0
