iter	RMSE
144	0.2414427214
145	0.2401456795
146	0.2399497405
147	0.2391158671
148	0.2386944006
149	0.2375705702
150	0.2375251942
151	0.2372724516
152	0.2361780347
153	0.2361174016
154	0.2357708057
155	0.2357138354
156	0.2355836555
157	0.2351776621
158	0.2347825966
159	0.2344840746
160	0.2340806876
161	0.2340168848
162	0.2332101922
163	0.2330780264
164	0.2327164328
165	0.2326686249
166	0.2315036024
167	0.2314661349
168	0.2312304784
169	0.2311026743
170	0.2307790333
171	0.2304378892
172	0.2300120905
173	0.2295185784
174	0.2294460588
175	0.2287769842
176	0.2281975966
177	0.2281713694
178	0.2277735701
179	0.2273508982
180	0.2270444621
181	0.2266319208
182	0.2262529182
183	0.22591679
184	0.2257270844
185	0.2253256739
186	0.224805917
187	0.2243771147
188	0.2240704625
189	0.2240283305
190	0.2235685762
191	0.2224782621
192	0.2222018135
193	0.2221405262
194	0.2206623602
195	0.2203565104
196	0.219893956
197	0.2194868378
198	0.2188852087
199	0.2184793987
200	0.2183562819
201	0.2181040919
202	0.2171670804
203	0.2157943137
204	0.2157002138
205	0.2156190864
206	0.2152591918
207	0.2149962283
208	0.2147061313
209	0.2143615978
210	0.2139453162
211	0.2135947595
212	0.2133118878
213	0.2131615129
214	0.2128032528
215	0.2125482376
216	0.2125021828
217	0.2117859626
218	0.211104316
219	0.2107600661
220	0.210360559
221	0.2097264667
222	0.2093936914
223	0.2091208581
224	0.2088720584
225	0.2081949849
226	0.2078325968
227	0.2075830951
228	0.2073624614
229	0.2073353428
230	0.206012711
231	0.2055976134
232	0.2054991274
233	0.2052591194
234	0.2048902659
235	0.2045761368
236	0.2043621337
237	0.2041793408
238	0.2039495719
239	0.2039127385
240	0.2038316833
241	0.2038163917
242	0.2037183344
243	0.2028773021
244	0.2028570527
245	0.202649457
246	0.20238335
247	0.2021216179
248	0.2019090517
249	0.2015928753
250	0.2013001445
251	0.2004511202
252	0.2001010298
253	0.1991864461
254	0.1989053556
255	0.198870802
256	0.1975801782
257	0.1970297653
258	0.1969725332
259	0.1968011756
260	0.1964640314
261	0.1960815677
262	0.194851273
263	0.1936817865
264	0.1927420827
265	0.1924514004
266	0.1923427285
267	0.1920653569
268	0.1920356579
269	0.1918946956
270	0.1918678445
271	0.1915760943
272	0.1907100304
273	0.1900961776
274	0.1897833236
275	0.1895527389
276	0.1894178646
277	0.1892886006
278	0.1886153858
279	0.1883003741
280	0.1881403583
281	0.1878567218
282	0.1876920413
283	0.1874379522
284	0.1874001162
285	0.1863945413
286	0.1863011039
287	0.1861364786
288	0.1859042926
289	0.1856098018
290	0.1849081963
291	0.1847522683
292	0.1844174498
293	0.184350719
294	0.1835684242
295	0.1835550173
296	0.183403072
297	0.1833858205
298	0.183093543
299	0.1825073826
300	0.181995783
301	0.181374769
302	0.1805514709
303	0.1805249741
304	0.1804750569
305	0.180378603
306	0.1803571094
307	0.1801854911
308	0.18016404
309	0.1795909244
310	0.179530456
311	0.1790035266
312	0.1789917024
313	0.1789780232
314	0.1783377419
315	0.1780571797
316	0.1777088942
317	0.1775793777
318	0.1774612102
319	0.1768334725
320	0.1765782789
321	0.1764983591
322	0.1754075581
323	0.1752376217
324	0.1747661844
325	0.1737605151
326	0.1736549656
327	0.173505285
328	0.1733819774
329	0.1731355558
330	0.1728237859
331	0.1727818619
332	0.1724632731
333	0.1722188674
334	0.1721859533
335	0.1719911113
336	0.1718207484
337	0.1714341585
338	0.1708260026
339	0.1700944341
340	0.1699353955
341	0.1699210597
342	0.1693635723
343	0.1692556198
344	0.1690421006
345	0.1687905891
346	0.1686630321
347	0.1685417333
348	0.1679986347
349	0.16758832
350	0.167452393
351	0.1668367028
352	0.1665948998
353	0.1665768832
354	0.1664104219
355	0.1662816396
356	0.1660829498
357	0.1652942267
358	0.164914706
359	0.1646673297
360	0.1645821588
361	0.16442367
362	0.1639184468
363	0.1637636501
364	0.1629461775
365	0.1628780093
366	0.1628221393
367	0.1626751815
368	0.1625904078
369	0.1624243412
370	0.1620521519
371	0.1618782954
372	0.1613875731
373	0.1606065268
374	0.160493105
375	0.1602906823
376	0.1601706319
377	0.1596165313
378	0.1592850439
379	0.1592406063
380	0.1591432734
381	0.158810799
382	0.15851996
383	0.1580109914
384	0.1576314117
385	0.1574417003
386	0.1572557279
387	0.1567102236
388	0.156512801
389	0.1563156134
390	0.1562279366
391	0.1560511543
392	0.1558872259
393	0.1556551427
394	0.1554586639
395	0.1553635027
396	0.1551784334
397	0.1550101677
398	0.1547901714
399	0.1545602521
400	0.1539940431
401	0.1538627555
402	0.153551348
403	0.1534819732
404	0.1534646521
405	0.1533145818
406	0.1533016268
407	0.1531138169
408	0.1529814904
409	0.1528427855
410	0.1527448012
411	0.1526587953
412	0.1525562808
413	0.1524773986
414	0.1523683227
415	0.1516375376
416	0.1515620831
417	0.1514179327
418	0.1507053616
419	0.1506737424
420	0.1506330814
421	0.1501731251
422	0.1499997522
423	0.149926896
424	0.1498907352
425	0.1497192978
426	0.1495976642
427	0.1494644064
428	0.1493376323
429	0.1493067489
430	0.1492733383
431	0.1488540471
432	0.1486995989
433	0.1485818117
434	0.1484400893
435	0.147982139
436	0.1478789728
437	0.1475762649
438	0.1475158476
439	0.1472843703
440	0.146699559
441	0.1463783594
442	0.1461957347
443	0.1461368202
444	0.1459736667
445	0.1458738165
446	0.1457381922
447	0.1453833539
448	0.1451898687
449	0.1451212675
450	0.1449237662
451	0.1446956556
452	0.1445323485
453	0.1439818779
454	0.1438753034
455	0.1438518924
456	0.1436194738
457	0.1434594429
458	0.1429385515
459	0.1427838165
460	0.1427233734
461	0.1426372037
462	0.1425249115
463	0.1424417173
464	0.1422785155
465	0.1422090744
466	0.1421576952
467	0.1421015716
468	0.1420629912
469	0.1420093881
470	0.1418966643
471	0.1418506654
472	0.1417911887
473	0.1416391838
474	0.1415375346
475	0.1415281867
476	0.1412820722
477	0.1411432577
478	0.1410322994
479	0.141028122
480	0.1408783691
481	0.1405327606
482	0.1403751446
483	0.1403176239
484	0.1401207222
485	0.1396532472
486	0.1394446788
487	0.1389872118
488	0.1387752859
489	0.1384566288
490	0.1384353015
491	0.1382786074
492	0.1381602807
493	0.1381503174
494	0.1379311078
495	0.1378172261
496	0.1375118166
497	0.1374594332
498	0.1373573059
499	0.1372143756
